,trip_id,duration_sec,start_date,start_station_name,start_station_id,end_date,end_station_name,end_station_id,bike_number,zip_code,subscriber_type,c_subscription_type,start_station_latitude,start_station_longitude,end_station_latitude,end_station_longitude,member_birth_year,member_gender,bike_share_for_all_trip,start_station_geom,end_station_geom
0,201804302358451334,256,2018-04-30 23:58:45+00:00,Telegraph Ave at 19th St,183,2018-05-01 00:03:01+00:00,Bay Pl at Vernon St,195,1334,,Subscriber,,37.8087021,-122.2699271,37.81231409135146,-122.26077854633331,1971,Male,No,POINT(-122.2699271 37.8087021),POINT(-122.260778546333 37.8123140913515)
1,2018043023574379,95,2018-04-30 23:57:43+00:00,Jersey St at Castro St,137,2018-04-30 23:59:18+00:00,Jersey St at Church St,138,79,,Subscriber,,37.750506,-122.4339496,37.7509004,-122.4274114,,,No,POINT(-122.4339496 37.750506),POINT(-122.4274114 37.7509004)
2,201804302356573356,323,2018-04-30 23:56:57+00:00,Folsom St at 3rd St,36,2018-05-01 00:02:20+00:00,Victoria Manalo Draves Park,62,3356,,Subscriber,,37.78383,-122.39887,37.77779057034257,-122.40643188357352,1985,Male,No,POINT(-122.39887 37.78383),POINT(-122.406431883574 37.7777905703426)
3,201804302356463782,275,2018-04-30 23:56:46+00:00,Rhode Island St at 17th St,114,2018-05-01 00:01:21+00:00,5th St at Brannan St,64,3782,,Subscriber,,37.7644783,-122.4025701,37.7767539,-122.3990176,1986,Male,No,POINT(-122.4025701 37.7644783),POINT(-122.3990176 37.7767539)
4,201804302351073099,477,2018-04-30 23:51:07+00:00,Haste St at Telegraph Ave,240,2018-04-30 23:59:05+00:00,Haste St at Telegraph Ave,240,3099,,Subscriber,,37.8660431,-122.2588044,37.8660431,-122.2588044,1998,Male,Yes,POINT(-122.2588044 37.8660431),POINT(-122.2588044 37.8660431)
5,201804302350441275,371,2018-04-30 23:50:44+00:00,Powell St BART Station (Market St at 5th St),5,2018-04-30 23:56:55+00:00,Market St at 10th St,58,1275,,Subscriber,,37.78389935708493,-122.4084448814392,37.776619,-122.417385,1990,Male,No,POINT(-122.408444881439 37.7838993570849),POINT(-122.417385 37.776619)
6,201804302350403368,200,2018-04-30 23:50:40+00:00,Golden Gate Ave at Polk St,41,2018-04-30 23:54:00+00:00,San Francisco Public Library (Grove St at Hyde St),43,3368,,Customer,,37.78127,-122.41874,37.7787677,-122.4159292,,,No,POINT(-122.41874 37.78127),POINT(-122.4159292 37.7787677)
7,201804302349522362,246,2018-04-30 23:49:52+00:00,S Park St at 3rd St,49,2018-04-30 23:53:59+00:00,Yerba Buena Center for the Arts (Howard St at 3rd St),284,2362,,Subscriber,,37.7807601,-122.3949894,37.78487208436062,-122.40087568759915,1985,Male,No,POINT(-122.3949894 37.7807601),POINT(-122.400875687599 37.7848720843606)
8,20180430234734448,441,2018-04-30 23:47:34+00:00,Bancroft Way at Telegraph Ave,239,2018-04-30 23:54:56+00:00,MLK Jr Way at University Ave,238,448,,Subscriber,,37.8688126,-122.258764,37.8717192,-122.2730677,1998,Female,Yes,POINT(-122.258764 37.8688126),POINT(-122.2730677 37.8717192)
9,201804302344402955,125,2018-04-30 23:44:40+00:00,San Fernando St at 4th St,310,2018-04-30 23:46:45+00:00,9th St at San Fernando,281,2955,,Subscriber,,37.335885,-121.88566,37.3383952,-121.8807965,1990,Male,Yes,POINT(-121.88566 37.335885),POINT(-121.8807965 37.3383952)
10,201804302343513923,330,2018-04-30 23:43:51+00:00,29th St at Church St,145,2018-04-30 23:49:22+00:00,Jersey St at Church St,138,3923,,Subscriber,,37.7436839,-122.4268059,37.7509004,-122.4274114,,,No,POINT(-122.4268059 37.7436839),POINT(-122.4274114 37.7509004)
11,20180430234241825,488,2018-04-30 23:42:41+00:00,Derby St at College Ave,267,2018-04-30 23:50:50+00:00,Woolsey St at Sacramento St,272,825,,Subscriber,,37.8618037,-122.2535687,37.850577684047856,-122.27817535400388,1983,Male,No,POINT(-122.2535687 37.8618037),POINT(-122.278175354004 37.8505776840479)
12,201804302336032381,279,2018-04-30 23:36:03+00:00,Bancroft Way at College Ave,243,2018-04-30 23:40:42+00:00,Fulton St at Bancroft Way,247,2381,,Subscriber,,37.8693603,-122.2543374,37.8677892,-122.2658964,1990,Male,No,POINT(-122.2543374 37.8693603),POINT(-122.2658964 37.8677892)
13,201804302335123887,86,2018-04-30 23:35:12+00:00,17th St at Dolores St,107,2018-04-30 23:36:39+00:00,Sanchez St at 17th St,106,3887,,Subscriber,,37.7630152,-122.4264968,37.7632417,-122.4306746,,,No,POINT(-122.4264968 37.7630152),POINT(-122.4306746 37.7632417)
14,201804302334382575,414,2018-04-30 23:34:38+00:00,Market St at 10th St,58,2018-04-30 23:41:33+00:00,14th St at Mission St,97,2575,,Subscriber,,37.776619,-122.417385,37.7682646,-122.4201102,1990,Male,No,POINT(-122.417385 37.776619),POINT(-122.4201102 37.7682646)
15,201804302334361880,765,2018-04-30 23:34:36+00:00,San Jose City Hall,309,2018-04-30 23:47:21+00:00,Julian St at The Alameda,276,1880,,Subscriber,,37.337391,-121.886995,37.3322326,-121.9125165,1992,Male,Yes,POINT(-121.886995 37.337391),POINT(-121.9125165 37.3322326)
16,201804302333142650,564,2018-04-30 23:33:14+00:00,The Alameda at Bush St,278,2018-04-30 23:42:38+00:00,San Fernando St at 4th St,310,2650,,Subscriber,,37.3319323,-121.9048882,37.335885,-121.88566,1994,Male,Yes,POINT(-121.9048882 37.3319323),POINT(-121.88566 37.335885)
17,20180430233313685,560,2018-04-30 23:33:13+00:00,The Alameda at Bush St,278,2018-04-30 23:42:34+00:00,San Fernando St at 4th St,310,685,,Subscriber,,37.3319323,-121.9048882,37.335885,-121.88566,1994,Male,Yes,POINT(-121.9048882 37.3319323),POINT(-121.88566 37.335885)
18,201804302332242334,185,2018-04-30 23:32:24+00:00,Powell St BART Station (Market St at 4th St),3,2018-04-30 23:35:29+00:00,Union Square (Powell St at Post St),324,2334,,Subscriber,,37.78637526861584,-122.40490436553954,37.788299978150825,-122.40853071212769,1994,Female,No,POINT(-122.40490436554 37.7863752686158),POINT(-122.408530712128 37.7882999781508)
19,201804302331361876,953,2018-04-30 23:31:36+00:00,San Francisco Caltrain (Townsend St at 4th St),30,2018-04-30 23:47:30+00:00,Broadway at Kearny,323,1876,,Customer,,37.776598,-122.395282,37.79801364395978,-122.40595042705534,1995,Male,No,POINT(-122.395282 37.776598),POINT(-122.405950427055 37.7980136439598)
20,201804302329544008,187,2018-04-30 23:29:54+00:00,Duboce Park,84,2018-04-30 23:33:02+00:00,17th St at Dolores St,107,4008,,Subscriber,,37.7692005,-122.4338119,37.7630152,-122.4264968,1965,Male,No,POINT(-122.4338119 37.7692005),POINT(-122.4264968 37.7630152)
21,201804302329113744,519,2018-04-30 23:29:11+00:00,Spear St at Folsom St,24,2018-04-30 23:37:51+00:00,5th St at Howard St,45,3744,,Subscriber,,37.7896767,-122.3904285,37.781752,-122.405127,1985,Male,No,POINT(-122.3904285 37.7896767),POINT(-122.405127 37.781752)
22,201804302327521543,1133,2018-04-30 23:27:52+00:00,San Francisco Caltrain (Townsend St at 4th St),30,2018-04-30 23:46:45+00:00,Broadway at Kearny,323,1543,,Customer,,37.776598,-122.395282,37.79801364395978,-122.40595042705534,1995,Male,No,POINT(-122.395282 37.776598),POINT(-122.405950427055 37.7980136439598)
23,201804302326523797,327,2018-04-30 23:26:52+00:00,17th St at Valencia St,109,2018-04-30 23:32:20+00:00,Market St at Dolores St,86,3797,,Subscriber,,37.7633158,-122.4219039,37.7693053,-122.4268256,1957,Male,No,POINT(-122.4219039 37.7633158),POINT(-122.4268256 37.7693053)
24,201804302326401946,710,2018-04-30 23:26:40+00:00,2nd St at Townsend St,50,2018-04-30 23:38:31+00:00,Union Square (Powell St at Post St),324,1946,,Subscriber,,37.780526,-122.390288,37.788299978150825,-122.40853071212769,1955,Male,No,POINT(-122.390288 37.780526),POINT(-122.408530712128 37.7882999781508)
25,201804302324192893,828,2018-04-30 23:24:19+00:00,5th St at Brannan St,64,2018-04-30 23:38:08+00:00,Union Square (Powell St at Post St),324,2893,,Customer,,37.7767539,-122.3990176,37.788299978150825,-122.40853071212769,,,No,POINT(-122.3990176 37.7767539),POINT(-122.408530712128 37.7882999781508)
26,201804302323542955,1152,2018-04-30 23:23:54+00:00,Julian St at The Alameda,276,2018-04-30 23:43:07+00:00,San Fernando St at 4th St,310,2955,,Subscriber,,37.3322326,-121.9125165,37.335885,-121.88566,1994,Male,Yes,POINT(-121.9125165 37.3322326),POINT(-121.88566 37.335885)
27,20180430232351649,1373,2018-04-30 23:23:51+00:00,San Francisco Caltrain (Townsend St at 4th St),30,2018-04-30 23:46:44+00:00,Broadway at Kearny,323,649,,Subscriber,,37.776598,-122.395282,37.79801364395978,-122.40595042705534,1995,Male,No,POINT(-122.395282 37.776598),POINT(-122.405950427055 37.7980136439598)
28,20180430232348601,83,2018-04-30 23:23:48+00:00,Julian St at The Alameda,276,2018-04-30 23:25:12+00:00,Julian St at The Alameda,276,601,,Subscriber,,37.3322326,-121.9125165,37.3322326,-121.9125165,1994,Male,Yes,POINT(-121.9125165 37.3322326),POINT(-121.9125165 37.3322326)
29,201804302322132966,665,2018-04-30 23:22:13+00:00,Berkeley Civic Center,246,2018-04-30 23:33:18+00:00,Channing Way at San Pablo Ave,263,2966,,Customer,,37.8690599,-122.270556,37.8628271,-122.2902305,1976,Male,No,POINT(-122.270556 37.8690599),POINT(-122.2902305 37.8628271)
30,201804302322111445,291,2018-04-30 23:22:11+00:00,Davis St at Jackson St,11,2018-04-30 23:27:03+00:00,The Embarcadero at Steuart St,23,1445,,Subscriber,,37.79728,-122.398436,37.791464,-122.391034,1985,Male,No,POINT(-122.398436 37.79728),POINT(-122.391034 37.791464)
